0	0.4006	0
10	0.8839	0.1066
20	1	0.0814
30	0.9851	0.0429
40	0.9502	0.0056
50	0.916	-0.0289
60	0.8852	-0.0608
70	0.8538	-0.0921
80	0.8224	-0.1251
90	0.7902	-0.1599
100	0.7596	-0.1932
110	0.7293	-0.2289
120	0.6955	-0.27
130	0.6622	-0.3135
140	0.6263	-0.3611
150	0.5916	-0.4121
160	0.5572	-0.4663
170	0.5234	-0.5243
180	0.4908	-0.5928
190	0.4591	-0.6709
200	0.4314	-0.7552
210	0.4065	-0.8444
220	0.3839	-0.9495
230	0.3648	-1.07
240	0.3498	-1.2049
250	0.3411	-1.3493
260	0.3386	-1.4978
270	0.3421	-1.6451
280	0.3529	-1.7872
290	0.3685	-1.9133
300	0.3868	-2.0222
310	0.4091	-2.1224
320	0.4355	-2.214
330	0.4641	-2.2936
340	0.4947	-2.3635
350	0.5252	-2.4238
360	0.5551	-2.4756
370	0.5845	-2.5226
380	0.615	-2.5682
390	0.6447	-2.6099
400	0.6729	-2.6469
410	0.6986	-2.6789
420	0.7207	-2.7063
430	0.7411	-2.7304
440	0.7613	-2.7527
450	0.7807	-2.7728
460	0.7981	-2.7915
470	0.8144	-2.8089
480	0.8274	-2.8249
490	0.838	-2.8383
500	0.8474	-2.8512
510	0.8569	-2.8632
520	0.8652	-2.8742
530	0.8745	-2.8837
540	0.8859	-2.8917
550	0.9029	-2.8974
560	0.9259	-2.8999
570	0.9563	-2.8993
580	0.981	-2.8959
590	0.9837	-2.8845
600	0.8672	-2.8878
610	0.5509	-3.0246
620	0.311	-3.089
